Time [s],Value,Parity Error,Framing Error
27.917661475,0x112,,
27.918822000,0x012,,
28.135570900,0x112,,
28.136739675,0x012,,
28.374737000,0x112,,
28.375888275,0x012,,
28.603654500,0x112,,
28.604813400,0x012,,
28.822824475,0x112,,
28.823976375,0x012,,
29.061795500,0x112,,
29.062947275,0x012,,
29.291894525,0x112,,
29.293048675,0x012,,
29.529019525,0x112,,
29.530163400,0x012,,
29.760032700,0x112,,
29.761183975,0x012,,
29.979085000,0x112,,
29.980236750,0x012,,
30.218036750,0x112,,
30.219188250,0x012,,
30.446065700,0x112,,
30.447217475,0x012,,
30.664100475,0x112,,
30.665264000,0x012,,
30.902082325,0x112,,
30.903234075,0x012,,
31.132183575,0x112,,
31.133334825,0x012,,
31.350214900,0x112,,
31.351378925,0x012,,
31.588177875,0x112,,
31.589329125,0x012,,
31.595662350,0x000,,
31.819456500,0x112,,
31.820613025,0x012,,
32.040441775,0x112,,
32.041593675,0x012,,
32.276369425,0x112,,
32.277527950,0x012,,
32.508414800,0x112,,
32.509566325,0x012,,
32.746527425,0x112,,
32.747678950,0x012,,
32.972466550,0x112,,
32.973624825,0x012,,
33.192519625,0x112,,
33.193679150,0x012,,
33.429623550,0x112,,
33.430773550,0x012,,
33.660687725,0x112,,
33.661843375,0x012,,
33.877673150,0x112,,
33.878824675,0x012,,
33.929383350,0x113,,
33.930535350,0x000,,
33.931692375,0x027,,
33.932849525,0x010,,
33.934006925,0x0FF,,
33.935168925,0x0FF,,
33.936320950,0x048,,
34.160754700,0x112,,
34.161905950,0x012,,
34.378785500,0x112,,
34.379937400,0x012,,
34.594755100,0x112,,
34.595906375,0x012,,
34.833798300,0x112,,
34.834946675,0x012,,
35.064816325,0x112,,
35.065967825,0x012,,
35.282894225,0x112,,
35.284046125,0x012,,
35.519893725,0x112,,
35.521042975,0x012,,
35.738940825,0x112,,
35.740092325,0x012,,
35.967987475,0x112,,
35.969146350,0x012,,
36.207115400,0x112,,
36.208266925,0x012,,
36.425008900,0x112,,
36.426160400,0x012,,
36.655093050,0x112,,
36.656244675,0x012,,
36.896136925,0x112,,
36.897288825,0x012,,
37.122317425,0x112,,
37.123468700,0x012,,
37.363101700,0x112,,
37.364253450,0x012,,
37.593386050,0x112,,
37.594537825,0x012,,
37.809244125,0x112,,
37.810403025,0x012,,
38.043330225,0x112,,
38.044481750,0x012,,
38.264431950,0x112,,
38.265583700,0x012,,
38.479478050,0x112,,
38.480636700,0x012,,
38.716630650,0x112,,
38.717784925,0x012,,
38.935591125,0x112,,
38.936742625,0x012,,
39.153649550,0x112,,
39.154800825,0x012,,
39.390506275,0x112,,
39.391659300,0x012,,
39.621640400,0x112,,
39.622792050,0x012,,
39.860710225,0x112,,
39.861874250,0x012,,
40.086635750,0x112,,
40.087787525,0x012,,
40.308789950,0x112,,
40.309941225,0x012,,
40.543668150,0x112,,
40.544820025,0x012,,
40.774826300,0x112,,
40.775978075,0x012,,
40.994919325,0x112,,
40.996071075,0x012,,
41.230780000,0x112,,
41.231931625,0x012,,
41.460914900,0x112,,
41.462066675,0x012,,
41.681859050,0x112,,
41.683010325,0x012,,
41.919939950,0x112,,
41.921091200,0x012,,
42.145989275,0x112,,
42.147141675,0x012,,
42.365128075,0x112,,
42.366279350,0x012,,
42.600150450,0x112,,
42.601297450,0x012,,
42.823138500,0x112,,
42.824290250,0x012,,
43.035231625,0x112,,
43.036380775,0x012,,
43.273142725,0x112,,
43.274293975,0x012,,
43.489216650,0x112,,
43.490368425,0x012,,
43.722523125,0x112,,
43.723674900,0x012,,
43.958346625,0x112,,
43.959498525,0x012,,
44.176372600,0x112,,
44.177524125,0x012,,
44.412403500,0x112,,
44.413559525,0x012,,
44.642453800,0x112,,
44.643605700,0x012,,
44.863586050,0x112,,
44.864750075,0x012,,
45.102546600,0x112,,
45.103698125,0x012,,
45.328503675,0x112,,
45.329655075,0x012,,
45.549578625,0x112,,
45.550730150,0x012,,
45.784848775,0x112,,
45.786000550,0x012,,
45.792014075,0x000,,
46.015773750,0x112,,
46.016930525,0x012,,
46.237729500,0x112,,
46.238881275,0x012,,
46.471685950,0x112,,
46.472844725,0x012,,
46.551849050,0x113,,
46.553000700,0x000,,
46.554157725,0x027,,
46.555326875,0x010,,
46.556484375,0x0FF,,
46.557641775,0x0FF,,
46.558799175,0x048,,
46.797466275,0x112,,
46.798630300,0x012,,
47.034863925,0x112,,
47.036015450,0x012,,
47.265933700,0x112,,
47.267084975,0x012,,
47.484903275,0x112,,
47.486055025,0x012,,
47.721948150,0x112,,
47.723099675,0x012,,
47.952901900,0x112,,
47.954053425,0x012,,
48.168020250,0x112,,
48.169171525,0x012,,
48.406991000,0x112,,
48.408142375,0x012,,
48.636356925,0x112,,
48.637508700,0x012,,
48.856133150,0x112,,
48.857285025,0x012,,
49.096150375,0x112,,
49.097311025,0x012,,
49.323279325,0x112,,
49.324430575,0x012,,
49.561300275,0x112,,
49.562451300,0x012,,
49.795298175,0x112,,
49.796449925,0x012,,
50.012471875,0x112,,
50.013631025,0x012,,
50.248373600,0x112,,
50.249525125,0x012,,
50.478493325,0x112,,
50.479644850,0x012,,
50.698521375,0x112,,
50.699672900,0x012,,
50.929545650,0x112,,
50.930697550,0x012,,
51.154574725,0x112,,
51.155725975,0x012,,
51.369673475,0x112,,
51.370825000,0x012,,
51.622527750,0x112,,
51.623679525,0x012,,
51.850711100,0x112,,
51.851862875,0x012,,
52.069757425,0x112,,
52.070908950,0x012,,
52.311713175,0x112,,
52.312864675,0x012,,
52.537762950,0x112,,
52.538913725,0x012,,
52.775803300,0x112,,
52.776986325,0x012,,
53.004878150,0x112,,
53.006030050,0x012,,
53.226068700,0x112,,
53.227219975,0x012,,
53.233221125,0x000,,
53.458889300,0x112,,
53.460035700,0x012,,
53.692983175,0x112,,
53.694134575,0x012,,
53.910982250,0x112,,
53.912134000,0x012,,
54.150050625,0x112,,
54.151202375,0x012,,
54.378116000,0x112,,
54.379267650,0x012,,
54.524004775,0x113,,
54.525168675,0x000,,
54.526325450,0x027,,
54.527482100,0x010,,
54.528638875,0x0FF,,
54.529796000,0x0FF,,
54.530965025,0x048,,
54.774057750,0x112,,
54.775209525,0x012,,
55.002285975,0x112,,
55.003437750,0x012,,
55.222177675,0x112,,
55.223336175,0x012,,
55.463170275,0x112,,
55.464321525,0x012,,
55.688321200,0x112,,
55.689472600,0x012,,
55.907315850,0x112,,
55.908467100,0x012,,
56.146366075,0x112,,
56.147532475,0x012,,
56.375405925,0x112,,
56.376557325,0x012,,
56.595596525,0x112,,
56.596748025,0x012,,
56.830542450,0x112,,
56.831693325,0x012,,
57.051482250,0x112,,
57.052627000,0x012,,
57.267660450,0x112,,
57.268824225,0x012,,
57.501621925,0x112,,
57.502773675,0x012,,
57.719627775,0x112,,
57.720779425,0x012,,
57.955725400,0x112,,
57.956877025,0x012,,
58.185727325,0x112,,
58.186878850,0x012,,
58.403717200,0x112,,
58.404868975,0x012,,
58.643747575,0x112,,
58.644903725,0x012,,
58.886807225,0x112,,
58.887965750,0x012,,
59.108345700,0x112,,
59.109497475,0x012,,
59.340026225,0x112,,
59.341177475,0x012,,
59.559034450,0x112,,
59.560185975,0x012,,
