Time [s],Value,Parity Error,Framing Error
64.889523200,0x012,,
65.093390800,0x112,,
65.094536700,0x012,,
65.298404200,0x112,,
65.299550100,0x012,,
65.503417700,0x112,,
65.504563600,0x012,,
65.708431200,0x112,,
65.709577100,0x012,,
65.913444600,0x112,,
65.914590500,0x012,,
66.118458100,0x112,,
66.119604000,0x012,,
66.323471500,0x108,,
66.324617400,0x008,,
66.348473200,0x112,,
66.349619100,0x012,,
66.533485300,0x112,,
66.534631200,0x012,,
66.738498800,0x112,,
66.739644700,0x012,,
66.943512200,0x112,,
66.944658200,0x012,,
67.148525700,0x112,,
67.149671600,0x012,,
67.353539200,0x130,,
67.354685100,0x030,,
67.378540800,0x112,,
67.379686700,0x012,,
67.563552900,0x112,,
67.564698900,0x012,,
67.768566400,0x112,,
67.769712300,0x012,,
67.973579900,0x112,,
67.974725800,0x012,,
68.178593300,0x112,,
68.179739200,0x012,,
68.383606800,0x112,,
68.384752700,0x012,,
68.588620200,0x112,,
68.589766100,0x012,,
68.793737900,0x112,,
68.794883800,0x012,,
68.898744800,0x108,,
68.899890700,0x008,,
69.003751600,0x112,,
69.004897600,0x012,,
69.208765100,0x112,,
69.209911000,0x012,,
69.413778600,0x112,,
69.414924500,0x012,,
69.618792000,0x112,,
69.619937900,0x012,,
69.823805500,0x112,,
69.824951400,0x012,,
69.928812400,0x130,,
69.929958300,0x030,,
70.033819300,0x112,,
70.034965200,0x012,,
70.238832700,0x112,,
70.239978600,0x012,,
70.443846200,0x112,,
70.444992100,0x012,,
70.648859600,0x112,,
70.650005500,0x012,,
70.853873100,0x112,,
70.855019000,0x012,,
71.058886600,0x112,,
71.060032500,0x012,,
71.263900000,0x112,,
71.265045900,0x012,,
71.468913500,0x108,,
71.470059400,0x008,,
71.493915100,0x112,,
71.495061000,0x012,,
71.678927200,0x112,,
71.680073200,0x012,,
71.883940700,0x112,,
71.885086600,0x012,,
72.088954200,0x112,,
72.090100100,0x012,,
72.293967600,0x112,,
72.295113500,0x012,,
