Time,Label,Data,ReplyTime(ms)
27.972573200,RX,12* 12,
27.977504600,TX,00*,2.685500
28.157585200,RX,12* 12,
28.163775500,TX,00*,3.944400
28.362598600,RX,12* 12,
28.367520800,TX,00*,2.676300
28.567612000,RX,12* 12,
28.573437400,TX,00*,3.579500
28.772625300,RX,12* 12,
28.777546800,TX,00*,2.675600
28.977638700,RX,12* 12,
28.983385400,TX,00*,3.500800
29.182652000,RX,12* 12,
29.187624800,TX,00*,2.726900
29.387665400,RX,12* 12,
29.392592300,TX,00*,2.681000
29.492672200,RX,08* 08,
29.597679100,RX,12* 12,
29.602617600,TX,00*,2.692600
29.802692400,RX,12* 12,
29.807682600,TX,00*,2.744300
30.007705800,RX,12* 12,
30.012643600,TX,00*,2.691900
30.212719200,RX,12* 12,
30.217643600,TX,00*,2.678500
30.417732500,RX,12* 12,
30.422643600,TX,00*,2.665200
30.522843500,RX,30* 30,
30.627850400,RX,12* 12,
30.632870400,TX,00*,2.774100
30.832863700,RX,12* 12,
30.837805400,TX,00*,2.695700
31.037877100,RX,12* 12,
31.042798900,TX,00*,2.675900
31.242890500,RX,12* 12,
31.247811900,TX,00*,2.675500
31.447903800,RX,12* 12,
31.452831400,TX,00*,2.681700
31.652917200,RX,12* 12,
31.657948400,TX,00*,2.785300
31.857930500,RX,12* 12,
31.862863900,TX,00*,2.687400
32.062943900,RX,08* 08,
32.087945500,RX,12* 12,
32.092886000,TX,00*,2.694600
32.272957600,RX,12* 12,
32.277889200,TX,00*,2.685700
32.477971000,RX,12* 12,
32.482928200,TX,00*,2.711300
32.682984300,RX,12* 12,
32.687889200,TX,00*,2.659000
32.887997700,RX,12* 12,
32.892934700,TX,00*,2.691100
33.093011000,RX,30* 30,
33.118012700,RX,12* 12,
33.122963300,TX,00*,2.704700
33.303024700,RX,12* 12,
33.307985900,TX,00*,2.715300
33.508038100,RX,12* 12,
33.512966400,TX,00*,2.682400
33.713051400,RX,12* 12,
33.717973000,TX,00*,2.675600
33.918064800,RX,12* 12,
33.922986000,TX,00*,2.675300
34.123078200,RX,12* 12,
34.128018500,TX,00*,2.694400
34.328091500,RX,12* 12,
34.333025000,TX,00*,2.687600
34.533104900,RX,12* 12,
34.538064000,TX,00*,2.713200
34.638111700,RX,08* 08,
34.743118600,RX,12* 12,
34.748043800,TX,00*,2.679300
34.948131900,RX,12* 12,
34.953050300,TX,00*,2.672500
35.153145300,RX,12* 12,
35.158076300,TX,00*,2.685100
35.358158700,RX,12* 12,
35.363108800,TX,00*,2.704200
35.563172000,RX,12* 12,
35.568121800,TX,00*,2.703900
35.668283000,RX,30* 30,
35.773185700,RX,12* 12,
35.778108000,TX,00*,2.676400
35.978199100,RX,12* 12,
35.984278200,TX,00*,3.833200
36.183316600,RX,12* 12,
36.188264100,TX,00*,2.701600
36.388330000,RX,12* 12,
36.394382200,TX,00*,3.806300
36.593343300,RX,12* 12,
36.598238100,TX,00*,2.648900
36.798356700,RX,12* 12,
36.804317300,TX,00*,3.714700
37.003370000,RX,12* 12,
37.008303100,TX,00*,2.687100
37.208383400,RX,08* 08,
37.233385000,RX,12* 12,
37.238338200,TX,00*,2.707300
37.418397100,RX,12* 12,
37.424849600,TX,00*,4.206600
37.623410500,RX,12* 12,
37.628718500,TX,03 ff ff ff ff ff ff ff ff 00 00 00 44 45 19 78 00 15*,3.062100
37.649349600,RX,00,
37.728417300,RX,12* 12,
37.734663900,TX,00*,4.000700
37.933430700,RX,12* 12,
37.938357300,TX,00*,2.680700
38.138444000,RX,12* 12,
38.144982500,TX,00*,4.292600
38.243450900,RX,30* 30,
38.348457700,RX,12* 12,
38.355118300,TX,00*,4.414700
38.553471100,RX,12* 12,
38.558395500,TX,00*,2.678500
38.758484400,RX,12* 12,
38.764994800,TX,00*,4.264500
38.963497800,RX,12* 12,
38.968441100,TX,00*,2.697400
39.168511200,RX,12* 12,
39.175046800,TX,00*,4.289700
39.373524500,RX,12* 12,
39.378473600,TX,00*,2.703200
39.578537900,RX,12* 12,
39.585027400,TX,00*,4.243600
39.783551300,RX,08* 08,
39.808552900,RX,12* 12,
39.815068900,TX,00*,4.270100
39.993564900,RX,12* 12,
39.998901900,TX,00*,3.091000
40.198578300,RX,12* 12,
40.203498900,TX,00*,2.674700
40.403591700,RX,12* 12,
40.408518400,TX,00*,2.680800
40.608605000,RX,12* 12,
40.613557400,TX,00*,2.706500
40.813618400,RX,30* 30,
40.838620000,RX,12* 12,
40.843553500,TX,00*,2.687600
41.023632100,RX,12* 12,
41.028576200,TX,00*,2.698200
41.228645500,RX,12* 12,
41.233667200,TX,00*,2.775800
41.433658800,RX,12* 12,
41.440994600,TX,00*,5.089900
41.638672200,RX,12* 12,
41.643595700,TX,00*,2.677600
41.843685500,RX,12* 12,
41.848608800,TX,00*,2.677300
42.048803100,RX,12* 12,
42.053790800,TX,00*,2.741800
42.253816500,RX,12* 12,
42.258758300,TX,00*,2.695900
42.358823300,RX,08* 08,
42.463830100,RX,12* 12,
42.468751100,TX,00*,2.675000
42.668843500,RX,12* 12,
42.675259300,TX,00*,4.169900
42.873856900,RX,12* 12,
42.878803100,TX,00*,2.700300
43.078870200,RX,12* 12,
43.083796600,TX,00*,2.680500
43.283883600,RX,12* 12,
43.288809600,TX,00*,2.680100
43.388890500,RX,30* 30,
43.493897300,RX,12* 12,
43.498821900,TX,00*,2.678700
43.698910700,RX,12* 12,
