Time,Label,Data,ReplyTime(ms)
25.165137600,TX,00*,2.501400
25.365403800,RX,12* 12,
25.370175200,TX,00*,2.525500
25.570417300,RX,12* 12,
25.575180300,TX,00*,2.517100
25.775430900,RX,12* 12,
25.780179000,TX,00*,2.502200
25.980444400,RX,12* 12,
25.985184100,TX,00*,2.493800
26.185458000,RX,08* 08,
26.210459600,RX,12* 12,
26.215198100,TX,00*,2.492600
26.395471800,RX,12* 12,
26.400239000,TX,00*,2.521300
26.600485400,RX,12* 12,
26.605237700,TX,00*,2.506400
26.805498900,RX,12* 12,
26.810255800,TX,00*,2.511000
27.010512500,RX,12* 12,
27.015254500,TX,00*,2.496100
27.215526000,RX,30* 30,
27.240527700,RX,12* 12,
27.245275000,TX,00*,2.501400
27.425539900,RX,12* 12,
27.430315900,TX,00*,2.530100
27.630553400,RX,12* 12,
27.635327500,TX,00*,2.528200
27.835567000,RX,12* 12,
27.840319700,TX,00*,2.506800
28.040580500,RX,12* 12,
28.045383300,TX,00*,2.556900
28.245594000,RX,12* 12,
28.250342900,TX,00*,2.502900
28.450607600,RX,12* 12,
28.455406600,TX,00*,2.553100
28.655621100,RX,12* 12,
28.660385700,TX,00*,2.518700
28.760628100,RX,08* 08,
28.865635000,RX,12* 12,
28.870383500,TX,00*,2.502600
29.070648500,RX,12* 12,
29.075395200,TX,00*,2.500700
29.275662100,RX,12* 12,
29.280406800,TX,00*,2.498800
29.480675600,RX,12* 12,
29.485450900,TX,00*,2.529400
29.685689200,RX,12* 12,
29.690443100,TX,00*,2.508000
29.790696100,RX,30* 30,
29.895703000,RX,12* 12,
29.900447400,TX,00*,2.498400
30.100716600,RX,12* 12,
30.105465500,TX,00*,2.503000
30.305730100,RX,12* 12,
30.310470600,TX,00*,2.494600
30.510743700,RX,12* 12,
30.515514800,TX,00*,2.525200
30.715861400,RX,12* 12,
30.720617400,TX,00*,2.510100
30.920874900,RX,12* 12,
30.925655100,TX,00*,2.534300
31.125888500,RX,12* 12,
31.130634200,TX,00*,2.499800
31.330902000,RX,08* 08,
31.355903700,RX,12* 12,
31.360674200,TX,00*,2.524600
31.540915900,RX,12* 12,
31.545669600,TX,00*,2.507800
31.745929400,RX,12* 12,
31.750694300,TX,00*,2.518900
31.950943000,RX,12* 12,
31.955686400,TX,00*,2.497500
32.155956500,RX,12* 12,
32.160704500,TX,00*,2.502100
32.360970100,RX,30* 30,
32.385971700,RX,12* 12,
32.390731600,TX,00*,2.514000
32.570984000,RX,12* 12,
32.575733500,TX,00*,2.503600
32.775997500,RX,12* 12,
32.780758100,TX,00*,2.514700
32.981011000,RX,12* 12,
32.985750300,TX,00*,2.493400
33.186024600,RX,12* 12,
33.190774900,TX,00*,2.504400
33.391038100,RX,12* 12,
33.395812500,TX,00*,2.528500
33.596051700,RX,12* 12,
33.600824200,TX,00*,2.526600
33.801065200,RX,12* 12,
33.805822800,TX,00*,2.511700
33.906072200,RX,08* 08,
34.011079100,RX,12* 12,
34.015833600,TX,00*,2.508600
34.216092600,RX,12* 12,
34.220845200,TX,00*,2.506700
34.421106200,RX,12* 12,
34.425876400,TX,00*,2.524300
34.626119700,RX,12* 12,
34.630868500,TX,00*,2.502900
34.831133300,RX,12* 12,
34.835880200,TX,00*,2.501000
34.936140200,RX,30* 30,
35.041147200,RX,12* 12,
35.045904000,TX,00*,2.510900
35.246160700,RX,12* 12,
35.250909100,TX,00*,2.502500
35.451174200,RX,12* 12,
35.455946700,TX,00*,2.526500
35.656187800,RX,12* 12,
35.660945400,TX,00*,2.511700
35.861201300,RX,12* 12,
35.865957000,TX,00*,2.509800
36.066214900,RX,12* 12,
36.070955700,TX,00*,2.494900
36.271228400,RX,12* 12,
36.275993300,TX,00*,2.519000
36.476346100,RX,08* 08,
36.501243600,RX,12* 12,
36.505981300,TX,00*,2.491800
36.686360000,RX,12* 12,
36.691119700,TX,00*,2.513800
36.891373600,RX,12* 12,
36.896137900,TX,00*,2.518400
37.096387100,RX,12* 12,
37.101156000,TX,00*,2.523000
37.301400700,RX,12* 12,
37.306148200,TX,00*,2.501600
37.506414200,RX,30* 30,
37.531415900,RX,12* 12,
37.536155700,TX,00*,2.493900
37.716428100,RX,12* 12,
37.721183600,TX,00*,2.509600
37.921441600,RX,12* 12,
37.926188700,TX,00*,2.501200
38.126455200,RX,12* 12,
38.131206900,TX,00*,2.505800
38.331468700,RX,12* 12,
38.336205500,TX,00*,2.490900
38.536482300,RX,12* 12,
38.541256200,TX,00*,2.528000
38.741495800,RX,12* 12,
38.746267800,TX,00*,2.526100
38.946509400,RX,12* 12,
38.951266400,TX,00*,2.511100
39.051516300,RX,08* 08,
39.156523200,RX,12* 12,
39.161270700,TX,00*,2.501500
39.361536800,RX,12* 12,
39.366288900,TX,00*,2.506200
39.566550300,RX,12* 12,
39.571333000,TX,00*,2.536800
39.771563900,RX,12* 12,
39.776331700,TX,00*,2.521900
39.976577400,RX,12* 12,
39.981349800,TX,00*,2.526500
40.081584400,RX,30* 30,
40.186591300,RX,12* 12,
40.191334600,TX,00*,2.497400
40.391604900,RX,12* 12,
40.396352700,TX,00*,2.501900
40.596618400,RX,12* 12,
40.601390400,TX,00*,2.526100
40.801631900,RX,12* 12,
40.806395500,TX,00*,2.517600
41.006645500,RX,12* 12,
41.011387700,TX,00*,2.496300
41.211659000,RX,12* 12,
41.216405800,TX,00*,2.500800
41.416672600,RX,12* 12,
41.421521400,TX,00*,2.602900
41.621790300,RX,08* 08,
41.646687800,RX,12* 12,
41.651431400,TX,00*,2.497700
41.831700000,RX,12* 12,
41.836446400,TX,00*,2.500500
42.036713600,RX,12* 12,
42.041458000,TX,00*,2.498500
42.241831300,RX,12* 12,
42.246580200,TX,00*,2.503000
42.446844800,RX,12* 12,
42.451617800,TX,00*,2.527100
42.651858400,RX,30* 30,
42.676860000,RX,12* 12,
42.681599300,TX,00*,2.493400
42.861872300,RX,12* 12,
42.866620700,TX,00*,2.502500
43.066885800,RX,12* 12,
43.071664900,TX,00*,2.533200
43.271899400,RX,12* 12,
43.276650500,TX,00*,2.505200
43.476912900,RX,12* 12,
43.481681700,TX,00*,2.522900
43.681926500,RX,12* 12,
43.686680300,TX,00*,2.507900
43.886940000,RX,12* 12,
43.891698400,TX,00*,2.512500
44.091953600,RX,12* 12,
44.096703600,TX,00*,2.504100
44.196960500,RX,08* 08,
44.301967400,RX,12* 12,
44.306714400,TX,00*,2.501100
44.506981000,RX,12* 12,
44.511745500,TX,00*,2.518600
44.711994500,RX,12* 12,
44.716750700,TX,00*,2.510300
44.917008100,RX,12* 12,
44.921762300,TX,00*,2.508300
45.122021600,RX,12* 12,
45.126774000,TX,00*,2.506500
45.227028600,RX,30* 30,
45.332035500,RX,12* 12,
45.336771800,TX,00*,2.490400
45.501743000,RX,ff*,
45.537049100,RX,12* 12,
45.541822400,TX,00*,2.527400
45.742062600,RX,12* 12,
45.746931600,TX,00*,2.623100
45.947076200,RX,12* 12,
45.951852200,TX,00*,2.530100
46.152089700,RX,12* 12,
46.156844300,TX,00*,2.508700
46.357103300,RX,12* 12,
46.361843000,TX,00*,2.493800
46.562116800,RX,12* 12,
46.566893600,TX,00*,2.530900
46.767130400,RX,08* 08,
46.792132000,RX,12* 12,
46.796875100,TX,00*,2.497200
